race,rclass,driver,position,points
R2022-14,rsc,IVRI,5,18
R2022-14,rsc,SEAN,6,17
R2022-14,rsc,MAKO,7,16
R2022-14,rsc,RIBU,8,15
R2022-15,rsc,HEHO,1,25
R2022-15,rsc,EDWI,2,23
R2022-15,rsc,EVMA,3,21
R2022-15,rsc,JMSC,4,19
R2022-15,rsc,RIBU,5,18
R2022-15,rsc,SEAN,6,17
R2022-15,rsc,IVRI,7,16
R2022-16,rsc,HEHO,1,25
R2022-16,rsc,EDWI,2,23
R2022-16,rsc,EVMA,3,21
R2022-16,rsc,JMSC,4,19
R2022-16,rsc,RIBU,5,18
R2022-16,rsc,IVRI,6,17
R2022-17,rsc,EDWI,1,25
R2022-17,rsc,EVMA,2,23
R2022-17,rsc,SEAN,3,21
R2022-18,rsc,SEAN,1,25
R2022-18,rsc,EDWI,2,23
R2022-18,rsc,EVMA,3,21
R2022-19,944c,JOBR,1,25
R2022-19,944c,MAOO,2,23
R2022-19,944c,EDKL,3,21
R2022-19,944c,LAHE,4,19
R2022-19,944c,TEHA,5,18
R2022-19,boxc,ERVE,1,25
R2022-19,cayc,ROSU,1,25
R2022-19,cayc,NIDR,2,23
R2022-19,cayc,ANBR,3,21
R2022-19,cayc,JWOF,4,19
R2022-19,cayc,TEGO,5,18
R2022-19,cayc,GIGO,6,17
R2022-19,cayc,JWKO,7,16
R2022-19,cayc,JPHU,8,15
R2022-19,cayc,RAWI,9,14
R2022-19,gtc,JOHA,1,25
R2022-19,gtc,WIGR,2,23
R2022-19,gtc,ERHE,3,21
R2022-19,gt4c,ROVL,1,25
R2022-19,gt4c,CHKU,2,23
R2022-19,rsc,JPVE,1,25
R2022-19,rsc,HEHO,2,23
R2022-19,rsc,RIBU,3,21
R2022-19,rsc,SEAN,4,19
R2022-19,rsc,EVMA,5,18
R2022-19,rsc,EDWI,6,17
R2022-20,944c,EDKL,1,25
R2022-20,944c,JOBR,2,23
R2022-20,944c,MAOO,3,21
R2022-20,944c,LAHE,4,19
R2022-20,944c,TEHA,5,18
R2022-20,boxc,ERVE,1,25
R2022-20,cayc,ROSU,1,25
R2022-20,cayc,ANBR,2,23
R2022-20,cayc,NIDR,3,21
R2022-20,cayc,TEGO,4,19
R2022-20,cayc,GIGO,5,18
R2022-20,cayc,RAWI,6,17
R2022-20,cayc,JPHU,7,16
R2022-20,cayc,JWKO,8,15
R2022-20,cayc,JWOF,9,14
R2022-20,gtc,JOHA,1,25
R2022-20,gtc,WIGR,2,23
R2022-20,gtc,ERHE,3,21
R2022-20,gt4c,ROVL,1,25
R2022-20,gt4c,CHKU,2,23
R2022-20,rsc,HEHO,1,25
R2022-20,rsc,SEAN,2,23
R2022-20,rsc,EVMA,3,21
R2022-20,rsc,JPVE,4,19
R2022-20,rsc,RIBU,5,18
R2022-20,rsc,EDWI,6,17
R2022-21,gtc,JOHA,1,25
R2022-21,cayc,ROSU,1,25
R2022-21,cayc,TEHU,2,23
R2022-21,cayc,HENO,3,21
R2022-21,cayc,PEWA,4,19
R2022-21,cayc,NIDR,5,18
R2022-21,cayc,ANBR,6,17
R2022-21,cayc,JWOF,7,16
R2022-21,cayc,JWKO,8,15
R2022-21,cayc,LEHI,9,14
R2022-21,944c,JOBR,1,25
R2022-21,944c,FRAS,2,23
R2022-21,gt4c,HAVE,1,25
R2022-21,gt4c,ROVL,2,23
R2022-21,rsc,SEAN,4,19
R2022-21,rsc,EVMA,1,25
R2022-21,rsc,JMSC,2,23
R2022-21,rsc,EDWI,3,21
R2022-22,rsc,JMSC,1,25
R2022-22,rsc,EDWI,2,23
R2022-22,rsc,EVMA,3,21
R2022-22,gtc,JOHA,1,25
R2022-22,cayc,ROSU,1,25
R2022-22,cayc,ANBR,2,23
R2022-22,cayc,TEHU,3,21
R2022-22,cayc,LEHI,4,19
R2022-22,cayc,HENO,5,18
R2022-22,cayc,NIDR,6,17
R2022-22,cayc,PEWA,7,16
R2022-22,cayc,JWOF,8,15
R2022-22,cayc,JWKO,9,14
R2022-22,944c,JOBR,1,25
R2022-22,944c,FRAS,2,23
R2022-22,gt4c,HAVE,1,25
R2022-22,gt4c,ROVL,2,23
R2022-22,rsc,SEAN,4,19
